playerid,firstname,surname,playerjerseyname,commonname,overallrating,role2,role1,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,curve,jerseystylecode,agility,tattooback,accessorycode4,gksavetype,positioning,tattooleftarm,hairtypecode,standingtackle,preferredposition3,longpassing,penalties,animfreekickstartposcode,lipcolor,isretiring,longshots,gkdiving,icontrait2,interceptions,shoecolorcode2,crossing,potential,gkreflexes,finishingcode1,reactions,composure,skinsurfacepack,vision,contractvaliduntil,finishing,dribbling,slidingtackle,accessorycode3,accessorycolourcode1,headtypecode,driref,sprintspeed,undershortstyle,height,hasseasonaljersey,tattoohead,preferredposition2,strength,shoetypecode,birthdate,preferredposition1,tattooleftleg,skinmakeup,ballcontrol,phypos,shotpower,trait1,socklengthcode,weight,hashighqualityhead,eyedetail,tattoorightarm,icontrait1,balance,gender,headassetid,gkkicking,defspe,internationalrep,shortpassing,freekickaccuracy,skillmoves,faceposerpreset,usercaneditname,avatarpomid,finishingcode2,aggression,acceleration,paskic,headingaccuracy,iscustomized,runningcode2,modifier,gkhandling,eyecolorcode,jerseysleevelengthcode,accessorycolourcode3,accessorycode1,playerjointeamdate,headclasscode,tattoofront,nationality,preferredfoot,sideburnscode,weakfootabilitytypecode,jumping,personality,gkkickstyle,stamina,firstnameid,accessorycolourcode4,gkpositioning,headvariation,skillmoveslikelihood,trait2,shohan,skintonecode,shortstyle,gkglovetypecode,smallsidedshoetypecode,emotion,runstylecode,muscularitycode,skincomplexion,jerseyfit,accessorycode2,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,animpenaltiesstartposcode,pacdiv,defensiveawareness,runningcode1,preferredposition4,volleys,accessorycolourcode2,tattoorightleg,facialhaircolorcode,lastnameid,playerjerseynameid,commonnameid,role3
1075,,,,,65,0,31,60201,0,3,287,66,0,65,0,0,0,65,0,103,65,-1,66,66,2,0,0,65,12,0,65,15,66,65,12,2,65,65,223101,65,2029,65,65,65,0,1,2001,65,65,0,174,1,0,-1,66,1,143201,18,0,0,65,66,65,65537,0,74,0,2,0,0,66,0,1075,7,65,1,65,66,3,0,0,0,0,66,65,65,65,0,0,0,9,3,0,0,16,158595,0,0,27,1,0,5,66,2,0,66,1469,0,7,0,3,1024,65,3,0,0,500,3,0,0,2,0,0,0,0,0,293,0,65,65,11,-1,66,0,0,3,9048,9048,0,0
1088,,,,,89,13,111,2150301,0,0,287,45,0,56,0,0,0,36,0,56,93,-1,68,51,0,0,0,44,8,0,91,15,53,89,13,0,86,83,232001,56,2029,41,64,92,0,0,24,68,79,0,187,1,0,-1,89,1,143697,5,0,0,76,84,52,167780352,0,79,0,2,0,16384,55,0,1088,14,92,5,77,32,1,0,0,0,0,85,72,63,84,0,0,1,9,9,0,0,0,160432,0,0,27,1,0,3,83,5,0,72,1469,0,12,0,1,1152,44,5,0,0,500,2,0,0,4,0,0,0,0,0,289,0,76,93,0,-1,42,0,0,0,27439,27439,0,0
1109,,,,,65,11,107,60201,0,0,287,66,0,65,0,0,0,65,0,10,65,-1,66,66,0,0,0,66,10,0,65,15,65,65,10,0,65,65,224001,65,2029,66,66,65,0,0,525,66,65,0,186,1,0,5,65,1,140874,7,0,0,65,65,66,16384,0,77,0,2,0,0,66,0,1109,9,65,1,65,66,1,3,0,0,0,65,65,65,65,0,0,0,6,8,0,0,0,158595,0,0,27,1,0,4,66,3,0,65,29316,0,12,1,1,0,66,5,0,0,500,2,0,0,4,0,0,0,0,0,4,0,65,65,0,-1,66,0,0,0,23711,23711,0,0
1114,,Baggio(900000),Baggio(900000),,91,31,132,60201,0,0,38,92,1,80,0,0,0,86,0,21,33,-1,88,84,0,0,0,82,5,0,36,7,85,91,10,0,87,84,223101,93,2029,86,93,32,0,0,2019,91,82,0,174,1,0,-1,60,1,140380,18,0,0,94,60,72,786569,0,73,0,2,0,65536,81,0,1114,8,38,5,92,88,4,4,0,0,0,39,86,90,73,0,0,1,15,6,0,0,0,160432,0,0,27,1,0,4,64,2,0,74,32098,0,7,1,3,0,82,2,0,0,500,2,0,0,2,0,0,0,0,0,292,0,84,36,0,-1,83,0,0,0,0,0,0,0
1116,,,,,88,15,111,2150301,1,0,0,48,0,57,0,0,0,50,0,82,87,-1,70,53,0,0,0,57,7,0,89,15,51,88,11,0,85,90,220001,71,2029,40,59,85,0,0,5002,66,83,0,185,1,0,10,90,1,140947,5,0,0,74,88,71,134275088,0,81,0,2,0,2048,56,0,1116,5,88,4,74,40,1,2,0,0,0,91,80,65,87,0,0,1,14,3,0,0,0,160432,0,0,18,1,0,3,82,4,0,81,24044,0,8,0,1,64,51,10,0,0,500,3,0,0,9,0,0,0,0,0,4,0,82,90,0,-1,50,0,0,0,9229,9229,0,0
1179,,,,,91,0,101,2150301,1,0,287,23,1,64,0,0,0,14,0,68,16,-1,35,25,0,0,0,16,94,4,28,28,13,91,93,0,88,70,223101,67,2029,19,25,14,0,0,52,93,48,0,192,0,0,-1,75,1,144377,0,0,0,26,89,59,0,0,82,1,2,0,0,58,0,1179,78,51,5,37,17,0,4,0,0,0,42,53,78,13,0,0,1,86,2,0,0,0,161228,0,0,27,1,0,2,78,5,3,42,13492,0,89,0,0,1152,86,3,0,16,500,4,0,0,2,0,0,0,0,0,5,0,94,18,0,-1,18,0,0,0,5762,5762,0,0
1183,,,,,89,11,112,2150301,0,3,0,61,0,82,0,0,0,35,0,43,93,-1,68,51,0,0,0,48,11,0,94,15,57,89,13,0,89,80,224001,53,2029,38,57,92,0,0,42,67,77,0,176,1,0,-1,85,1,142779,5,0,0,68,83,56,167798784,0,74,1,2,0,4096,80,0,1183,14,93,5,71,36,1,3,0,0,0,83,83,62,88,0,0,1,6,8,0,0,0,160684,0,0,27,1,0,3,91,2,0,76,11613,0,13,0,1,64,44,3,0,0,500,2,0,0,4,0,0,0,0,0,2,0,80,93,0,-1,41,0,0,0,6318,6318,0,0
1201,,,,,87,31,132,2150301,0,3,0,87,0,82,0,0,0,87,0,83,43,-1,81,86,0,0,0,87,15,0,32,15,82,87,8,0,88,83,232001,85,2029,90,91,36,0,0,3,89,83,0,168,1,0,25,59,1,140152,18,0,0,89,63,88,17104904,0,67,1,2,0,1,84,0,1201,14,41,4,87,90,3,1,0,0,0,62,87,85,62,0,0,0,14,9,0,0,0,160432,0,0,27,1,0,4,51,3,0,74,13486,0,7,0,2,0,88,4,0,0,500,3,0,0,2,0,0,0,0,0,8,0,85,40,0,-1,81,0,0,3,41246,41246,0,41
1397,,,,,94,21,131,60201,0,0,287,87,0,78,0,0,0,90,0,29,76,-1,95,88,0,0,0,92,10,0,83,0,92,94,7,0,94,96,223101,96,2029,89,96,65,0,3,2502,94,82,0,185,1,0,14,86,3,142332,18,0,0,96,84,88,17629313,0,77,0,2,0,32,85,0,1397,15,73,5,96,90,4,3,0,0,0,77,84,94,86,0,0,1,8,10,0,0,26,160432,0,0,18,1,0,5,73,2,0,86,41198,0,12,0,3,0,90,4,0,0,503,5,0,0,2,0,0,0,11,0,85,0,83,62,0,-1,91,0,0,0,41163,41163,0,0
1551,,Giuly(900000),Giuly(900000),,86,0,126,60201,0,0,287,78,0,88,0,0,0,80,0,636,45,-1,77,75,0,0,0,83,6,0,46,0,82,86,6,0,83,83,232001,82,2029,83,84,42,0,0,1505,85,87,0,164,1,0,-1,48,1,143810,12,0,0,85,58,86,46203393,0,62,1,2,0,262144,93,0,1551,16,49,4,84,72,3,3,0,0,0,52,90,81,63,0,0,2,8,3,0,0,0,160890,0,0,18,1,0,4,40,4,0,85,22747,0,9,0,3,1024,83,4,0,0,501,3,0,0,2,0,0,0,15,0,8,0,88,54,0,23,90,0,0,0,0,0,0,0
1605,,,,,87,25,129,2150301,0,3,288,84,0,81,0,0,0,85,0,56,36,18,81,79,2,0,0,75,6,0,44,15,85,87,10,0,81,83,232001,88,2029,83,88,34,0,0,1505,86,86,0,187,1,0,12,63,1,142825,16,0,0,89,64,74,4522016,1,74,1,2,0,1,76,0,1605,11,38,4,84,81,3,3,0,0,0,44,86,84,55,0,0,2,6,9,0,0,0,160432,0,0,18,1,0,4,73,4,0,81,32091,0,14,0,3,0,79,3,0,0,500,3,0,0,2,0,0,0,0,0,4,0,86,31,0,27,75,0,0,0,30267,30244,0,32
1615,,,,,88,12,103,60201,1,0,0,63,0,77,0,0,0,68,0,1,88,-1,78,42,0,0,0,59,13,0,88,15,74,88,14,0,83,84,220001,74,2029,57,71,94,0,0,3002,75,88,0,182,1,0,5,90,1,142158,3,0,0,77,90,63,134261760,0,75,1,2,0,16384,83,0,1615,7,90,4,83,42,2,2,0,0,0,90,89,76,87,0,0,2,8,9,0,0,0,161228,0,0,18,1,0,3,86,3,0,89,22117,0,15,0,1,0,58,10,0,0,500,3,0,0,10,0,0,0,0,0,2,0,88,92,0,-1,55,0,0,0,37094,37094,0,0
1620,,,,,87,18,114,1170502,0,2,287,71,0,77,0,0,0,79,0,7,88,7,82,62,0,0,0,88,8,0,87,15,71,87,11,0,82,85,232001,75,2029,69,70,84,0,0,4003,76,78,0,185,1,0,14,86,1,141692,10,0,0,84,87,88,2125860,0,79,0,2,0,8388608,71,0,1620,13,85,4,88,69,2,0,0,0,0,88,75,79,77,0,0,2,12,10,0,0,0,160432,0,0,18,2,0,3,76,5,0,90,11006,0,14,0,2,128,77,2,0,0,500,4,0,0,2,0,0,0,0,0,5,0,77,82,0,-1,74,0,0,6,29975,29975,0,9
1625,,,,,91,39,141,60201,0,0,243,92,0,88,0,0,0,92,0,25,49,-1,74,84,0,0,0,86,10,0,51,15,78,91,10,0,90,85,244101,80,2029,93,89,43,0,0,530,89,93,0,188,1,0,27,81,1,144213,25,0,0,92,78,87,21757953,2,83,1,2,0,131072,76,0,1625,7,51,5,86,85,3,2,0,0,0,62,93,82,84,0,0,1,12,9,0,0,0,160432,0,0,18,1,0,4,69,3,0,86,37014,0,10,0,3,0,90,7,0,0,500,2,0,0,6,0,0,0,0,0,5,2,93,44,20,-1,89,0,0,0,15434,15434,0,0
1668,,,,,87,19,114,60201,1,0,28,49,0,83,0,0,0,59,0,1,92,12,80,48,0,0,0,52,6,0,90,15,69,87,14,0,88,87,220001,79,2029,41,70,83,0,0,1024,78,80,0,174,1,0,14,83,1,142572,10,0,0,82,86,59,10506240,0,70,1,2,0,2048,89,0,1668,10,86,4,87,34,2,2,0,0,0,87,83,76,56,0,0,1,14,3,0,0,0,160432,0,0,18,1,0,3,84,3,0,90,7567,0,7,0,1,64,48,9,0,0,500,2,0,0,10,0,0,0,0,0,2,0,81,87,0,-1,40,0,0,0,23679,23634,0,24
1845,Ole Gunnar(900000),Solskjær(900000),Solskjaer(900000),,86,0,142,60201,1,5,0,84,0,80,0,0,0,92,0,21,37,-1,69,82,0,0,0,84,7,0,41,15,72,86,15,10,90,88,223101,81,2029,91,83,41,0,0,4001,84,84,0,178,1,0,-1,66,1,142580,25,0,0,86,66,84,524288,0,74,0,2,0,1,75,0,1845,11,45,4,75,64,2,0,0,0,0,52,86,75,84,0,0,0,7,2,1,0,0,160102,0,0,36,1,0,4,67,5,0,75,0,0,11,0,2,128,88,2,0,0,500,2,0,0,2,0,0,0,0,0,2,0,85,44,2,-1,87,0,0,6,0,0,0,0
3622,Ricardo Alberto(900000),Silveira Carvalho(900000),R. Carvalho(900000),Ricardo Carvalho(900000),88,11,112,60201,0,20,0,54,1,77,0,0,0,48,0,99,91,-1,77,52,0,0,0,59,16,0,88,15,64,88,12,0,86,83,232001,63,2029,53,65,89,0,0,1506,73,78,0,183,1,0,-1,78,1,144487,5,0,0,79,82,64,167789568,0,79,1,2,0,8192,82,0,3622,8,91,4,82,48,1,0,0,0,0,86,75,71,89,0,0,1,13,6,0,0,0,160444,0,0,38,1,0,3,88,4,0,84,0,0,12,0,1,1024,56,4,0,0,500,3,0,0,2,0,0,0,0,0,2,0,77,93,0,-1,52,0,0,0,0,0,0,0
4202,,Gattuso(900000),Gattuso(900000),,65,18,14,60201,0,0,286,66,1,65,0,0,0,66,0,84,65,12,65,66,0,0,0,66,8,0,65,2,66,65,5,0,65,66,223101,65,2029,66,66,65,0,0,1511,66,65,0,177,1,0,14,65,3,144358,10,0,0,65,65,66,16384,1,76,1,2,0,0,65,0,4202,8,65,1,65,66,1,3,0,0,0,65,65,65,65,0,0,0,7,9,0,0,0,159041,0,0,27,1,0,3,65,4,0,65,13312,0,11,0,1,0,66,2,0,0,501,5,0,0,2,0,0,0,15,0,3,0,65,65,0,-1,66,0,0,0,0,0,0,23
4231,,,,,90,32,139,60201,0,0,0,93,0,89,0,0,0,89,0,45,42,-1,83,85,0,0,0,91,12,0,37,15,86,90,12,0,90,91,244101,87,2029,86,92,39,0,0,1514,91,87,0,186,1,0,18,79,0,142267,27,0,0,92,75,91,34340873,0,75,1,2,0,65536,78,0,4231,15,42,5,87,90,3,0,0,0,0,58,86,87,74,0,3,1,10,9,0,0,0,160432,0,0,54,2,0,2,72,2,0,82,32042,0,11,0,3,0,88,5,0,0,500,3,0,0,6,0,0,0,0,0,4,0,87,37,2,16,90,0,0,0,5121,32040,32040,0
4833,Hristo(900000),,,,89,36,141,60201,0,0,287,88,0,88,0,0,0,90,0,21,52,27,81,90,0,0,0,90,11,0,52,15,84,89,6,20,87,87,232001,87,2029,92,91,47,0,0,2001,90,89,0,178,0,0,23,81,1,140005,25,0,0,90,84,90,262153,0,73,1,2,0,65536,82,0,4833,7,49,5,83,88,3,0,0,0,0,91,91,84,80,0,0,1,12,4,0,0,0,160432,0,0,9,2,0,3,77,3,0,84,0,0,8,0,2,0,91,3,0,0,500,5,0,0,2,0,0,0,0,0,2,0,90,35,17,-1,90,0,0,0,35720,35720,0,39
5003,,,,,91,6,105,2150301,1,0,0,75,0,75,0,0,0,71,0,47,90,-1,71,71,0,0,0,64,12,0,90,5,91,91,6,0,89,87,224001,82,2029,44,86,84,0,0,4003,85,90,0,176,1,0,-1,83,2,141585,3,0,0,87,83,65,17040384,0,75,0,2,0,8388608,79,0,5003,7,88,5,87,61,3,0,0,0,0,74,91,83,78,0,0,3,15,3,0,0,0,160432,0,0,54,1,0,3,80,2,0,92,24101,0,13,0,3,0,56,6,0,0,500,2,0,0,6,0,0,0,0,0,2,0,90,88,0,-1,60,0,0,0,41446,6123,6123,0
5419,,,,,88,41,142,60201,0,3,287,71,0,85,0,0,0,93,0,115,30,-1,52,86,0,0,0,79,7,0,31,15,66,88,8,0,89,82,223101,71,2029,93,89,30,0,0,2007,87,89,0,173,0,0,-1,61,1,145062,25,0,0,85,66,85,4325377,0,70,0,2,0,2,84,0,5419,10,35,4,78,66,2,4,0,0,0,56,90,69,82,0,0,1,15,4,0,0,0,160432,0,0,14,1,0,4,83,3,0,79,25450,0,10,0,2,512,88,2,0,0,500,2,0,0,2,0,0,0,0,0,2,0,89,28,17,-1,88,0,0,3,29007,29007,0,0
5454,Bixente(900000),Lizarazu(900000),Lizarazu(900000),,88,0,107,60201,0,3,287,74,0,77,0,0,0,77,0,119,83,-1,85,68,0,0,0,62,14,0,85,15,86,88,10,0,86,83,224001,72,2029,47,78,87,0,0,2508,82,85,0,169,1,0,-1,77,1,141405,7,0,0,86,82,77,37759616,0,70,0,2,0,16384,91,0,5454,7,83,4,84,51,2,0,0,0,0,86,89,80,69,0,0,3,7,3,0,0,0,160890,0,0,18,2,0,3,72,2,0,89,0,0,6,0,1,0,59,4,0,0,500,4,0,0,4,0,0,0,0,0,8,0,87,85,0,-1,65,0,0,3,0,0,0,0
5467,,,,,86,3,111,60201,0,0,287,60,0,63,0,0,0,52,0,154,87,7,73,68,0,0,0,52,16,0,87,15,65,86,16,0,85,82,223101,64,2029,41,63,90,0,0,46,67,71,0,185,1,0,3,85,1,144377,5,0,0,71,84,73,17408,0,83,1,2,0,2048,61,0,5467,9,87,4,75,43,1,4,0,0,0,89,69,68,83,0,0,1,14,5,1,0,0,161292,0,0,14,1,0,3,86,5,0,78,17399,0,15,0,1,1152,52,3,0,0,500,4,0,0,2,0,0,0,0,0,5,0,70,88,0,-1,44,0,0,0,6546,6546,0,7
5471,,,,,87,31,118,60201,0,3,0,82,0,70,0,0,0,83,0,17,73,10,90,87,1,0,0,92,12,0,76,15,80,87,8,0,87,87,223101,82,2029,87,84,60,0,0,2000,84,78,0,184,0,0,18,78,2,144520,14,0,0,89,80,90,18874728,0,89,1,2,0,4,71,0,5471,15,71,4,91,85,2,0,0,0,0,73,75,86,68,0,0,1,14,6,0,0,0,160432,0,0,14,1,0,4,77,5,0,90,12515,0,10,0,2,128,88,3,0,0,502,2,0,0,2,0,0,0,2,0,2,2,77,70,18,-1,84,0,0,3,21296,21296,0,16
5479,,Casillas Fernández(900000),Casillas(900000),Casillas(900000),90,0,102,2150301,0,3,287,24,1,66,0,0,0,18,0,40,16,-1,56,29,0,0,0,28,90,0,27,1,29,90,93,0,89,68,223101,69,2029,31,29,21,0,0,1518,93,54,0,185,3,0,-1,69,1,145585,0,0,0,33,88,63,0,0,80,1,2,0,536870912,56,0,5479,84,59,5,59,27,0,0,0,0,0,30,62,84,37,0,0,1,88,4,0,0,0,160432,0,0,45,2,0,3,81,5,2,44,16489,0,88,0,0,1156,88,2,0,8,502,4,0,0,2,0,0,0,19,0,2,0,90,28,0,-1,27,0,0,0,0,0,0,0
5589,,,,,89,37,135,60201,0,0,287,75,0,89,0,0,0,88,0,129,38,18,81,82,2,0,0,86,8,0,38,15,90,89,13,0,87,87,224001,85,2029,85,92,36,0,0,1518,90,88,0,180,1,0,12,75,1,142466,23,0,0,91,77,81,18088460,0,75,1,2,0,65536,77,0,5589,12,38,5,88,81,3,0,0,0,0,75,91,86,59,0,0,0,8,3,0,0,0,160432,0,0,38,1,0,4,67,2,0,85,22914,0,10,0,3,0,84,3,0,0,500,3,0,0,4,0,0,0,0,0,2,0,89,33,0,-1,77,0,0,0,23348,12143,22913,23
5661,,Morientes Sánchez(900000),,Fernando Morientes(900000),89,42,144,60201,0,0,287,69,0,77,0,0,0,92,0,85,42,-1,69,88,0,0,0,86,6,0,39,15,72,89,14,0,87,87,224001,83,2029,92,84,41,0,0,1539,83,85,0,186,1,0,-1,90,1,143714,25,0,0,84,86,91,524306,0,79,0,2,0,134217728,74,0,5661,11,45,5,81,76,3,4,0,0,0,74,82,77,96,0,0,0,12,3,0,0,8,160215,0,0,45,1,0,4,92,3,0,85,12021,0,14,0,3,0,90,3,0,0,503,3,0,0,4,0,0,0,12,0,5,0,84,36,0,-1,88,0,0,0,0,26255,0,0
5673,,Litmanen(900000),Litmanen(900000),,88,32,131,70000,0,3,0,86,0,77,0,0,0,93,0,204,25,-1,79,87,0,0,0,88,13,0,44,0,76,88,7,24,92,91,223101,87,2029,88,80,28,0,0,14,83,84,0,182,1,0,14,73,1,141843,18,0,0,90,65,82,16777219,0,78,0,2,0,524288,72,0,5673,13,35,4,87,80,2,4,0,0,20,22,80,83,70,0,17,1,8,9,0,0,0,160922,0,0,17,1,0,4,62,5,0,85,17520,0,15,0,2,640,87,3,0,0,500,2,0,0,2,0,0,0,0,0,2,0,82,31,2,-1,89,0,0,3,0,0,0,18
5679,,,,,86,0,143,2150301,1,0,28,83,1,81,0,0,0,88,0,241,33,-1,68,86,0,0,0,81,9,0,36,15,77,86,6,0,87,89,220001,87,2029,88,88,27,0,0,1024,87,83,0,196,1,0,-1,78,1,143832,25,0,0,89,75,83,51118112,0,80,0,2,0,0,74,0,5679,7,40,4,86,68,2,3,0,0,0,68,74,81,78,0,0,1,12,9,0,0,0,160921,0,0,133,1,0,3,56,4,0,77,28102,0,10,0,3,0,85,9,0,0,500,2,0,0,8,0,0,0,0,0,4,2,79,40,11,-1,82,0,0,0,19233,19233,0,0
