uid,name,revision,origin,playerid,overallrating,preferredposition1,preferredposition2,preferredposition3,preferredposition4,trait1,trait2,icontrait1,icontrait2,role1,role2,role3,role4,role5,skillmoves,weakfootabilitytypecode,acceleration,sprintspeed,agility,balance,jumping,stamina,strength,reactions,aggression,composure,interceptions,positioning,vision,ballcontrol,crossing,dribbling,finishing,freekickaccuracy,headingaccuracy,longpassing,shortpassing,defensiveawareness,shotpower,longshots,standingtackle,slidingtackle,volleys,curve,penalties,gkdiving,gkhandling,gkkicking,gkreflexes,gkpositioning
49,Robert Lewandowski,Normal,N\A,188545,88,25,-1,-1,-1,17301557,0,2,0,143,41,143,0,0,3,4,76,75,77,83,92,76,89,89,81,87,49,90,81,90,76,85,90,84,88,70,84,35,89,70,42,19,86,79,90,10,10,10,10,10
53,Vinícius José de Oliveira Júnior,Normal,N\A,238794,90,27,16,25,-1,17694723,0,4194304,0,139,139,41,0,0,4,4,95,95,94,84,74,84,65,86,58,83,26,87,85,90,81,93,89,62,50,77,83,32,81,77,25,18,73,79,71,10,10,10,10,10
57,Kevin De Bruyne,Normal,N\A,192985,90,14,18,-1,-1,16777928,0,32,0,122,21,122,31,0,3,5,67,67,75,78,71,88,75,92,75,88,66,88,95,92,95,86,84,83,55,93,94,66,92,93,70,53,83,93,83,10,10,10,10,10
58,Aitana Bonmatí Conca,Normal,N\A,241667,91,14,18,-1,-1,8913249,0,65536,0,121,121,32,0,0,3,5,82,80,93,86,75,82,75,91,64,85,88,91,90,91,74,92,91,77,54,90,91,75,79,90,81,67,70,78,70,10,10,10,10,10
32826,Harry Kane,Normal,N\A,202126,90,25,-1,-1,-1,17301680,0,1,0,141,43,141,0,0,2,4,64,66,66,73,87,75,86,94,80,92,42,94,86,87,80,82,95,69,91,88,86,46,94,88,46,38,89,82,93,10,10,10,10,10
32827,Martin Ødegaard,Normal,N\A,222665,89,14,18,-1,-1,17629760,0,32,0,121,121,31,0,0,4,2,72,69,85,83,66,88,56,91,64,87,69,84,91,91,86,89,83,85,55,89,91,68,82,89,72,57,79,84,68,10,10,10,10,10
32828,Gianluigi Donnarumma,Normal,N\A,230621,89,0,-1,-1,-1,536870912,0,0,8,101,101,0,0,0,0,3,50,55,57,38,73,41,75,84,30,65,26,14,60,30,12,28,12,14,12,34,36,21,55,34,14,16,8,12,24,90,84,73,90,87
32829,Alisson Ramses Becker,Normal,N\A,212831,89,0,-1,-1,-1,268435456,2,0,8,102,102,0,0,0,0,3,60,49,40,37,82,32,78,87,27,66,11,13,66,42,17,27,13,18,29,58,60,15,64,58,19,16,20,19,23,86,85,85,89,90
32830,Virgil van Dijk,Normal,N\A,203376,89,5,-1,-1,-1,44176,0,134217728,0,113,11,113,0,0,1,3,66,87,54,50,89,72,93,88,85,90,88,47,67,77,53,70,52,70,87,86,80,90,81,86,91,86,45,60,62,10,10,10,10,10
32831,Marc-André ter Stegen,Normal,N\A,192448,89,0,-1,-1,-1,0,2,536870912,0,102,102,0,0,0,0,4,45,50,39,43,72,35,78,85,43,70,22,11,70,30,18,21,14,12,11,63,61,25,67,63,13,10,14,18,25,86,85,89,91,86
32832,Mohamed Salah,Normal,N\A,209331,89,23,12,-1,-1,16908290,0,1,0,0,0,0,0,0,3,3,89,89,89,91,79,87,73,93,63,88,55,92,85,86,80,88,90,69,59,77,86,38,82,77,43,41,83,84,81,10,10,10,10,10
32833,Phil Foden,Normal,N\A,237692,88,23,12,18,27,786432,0,65536,0,136,37,136,0,0,3,3,89,83,92,92,66,83,53,85,64,86,59,85,86,91,80,90,88,74,47,84,88,60,89,84,59,47,59,88,64,10,10,10,10,10
32834,Lionel Messi,Normal,N\A,158023,88,23,12,18,25,20971817,0,65536,0,137,35,36,137,0,3,4,86,73,90,95,71,70,68,85,44,94,40,89,90,93,80,93,85,92,60,86,87,20,83,86,35,24,86,93,75,10,10,10,10,10
32835,Antoine Griezmann,Normal,N\A,194765,88,25,-1,-1,-1,50659362,0,1,0,143,41,143,0,0,3,3,81,80,89,84,85,86,69,90,74,89,59,90,88,91,82,88,90,85,85,86,89,45,85,86,63,64,86,89,79,10,10,10,10,10
32836,Rúben Santos Gato Alves Dias,Normal,N\A,239818,88,5,-1,-1,-1,16,0,32768,0,112,13,112,0,0,1,4,65,68,62,56,88,78,90,89,88,86,87,39,64,75,54,64,29,48,87,81,85,90,74,81,90,87,32,46,45,10,10,10,10,10
32837,Federico Valverde,Normal,N\A,239053,88,14,12,-1,-1,25297024,0,4,0,121,22,121,25,0,2,4,84,91,77,68,83,92,82,89,81,84,83,86,86,88,78,83,78,69,63,88,87,79,91,88,85,80,74,74,59,10,10,10,10,10
32838,Ederson Santana de Moraes,Normal,N\A,210257,88,0,-1,-1,-1,64,1,128,0,102,102,0,0,0,0,3,64,63,60,48,79,44,78,88,38,70,27,20,70,45,20,30,14,20,14,68,65,29,68,68,15,8,18,39,65,87,82,91,87,86
32839,Bernardo Mota Carvalho e Silva,Normal,N\A,218667,88,14,23,-1,-1,25428736,0,65536,0,122,122,37,0,0,3,3,83,69,95,92,68,93,54,89,78,89,73,85,87,92,84,93,78,67,54,82,91,70,79,82,76,68,78,84,64,10,10,10,10,10
32840,Jan Oblak,Normal,N\A,200389,88,0,-1,-1,-1,268435456,1,0,4,101,101,0,0,0,0,3,42,53,64,48,72,42,78,85,36,68,24,11,67,30,13,12,11,14,15,40,43,27,59,40,14,18,13,13,11,85,90,78,87,86
32841,Antonio Rüdiger,Normal,N\A,205452,88,5,-1,-1,-1,167775232,0,32768,0,111,111,0,0,0,1,3,71,91,56,50,89,70,91,86,92,80,85,54,61,74,68,69,40,56,83,81,84,86,84,81,88,87,34,50,40,10,10,10,10,10
32857,Selma Bacha,Normal,N\A,265674,86,7,27,-1,-1,12660744,0,512,0,110,110,40,0,0,3,3,92,83,94,89,79,91,71,77,85,84,80,80,79,81,92,80,65,81,58,80,87,76,92,80,84,87,49,88,60,10,10,10,10,10
32859,Alexia Putellas Segura,Normal,N\A,227203,90,14,18,-1,-1,328033,0,524288,0,121,121,32,0,0,4,5,81,82,90,89,84,85,78,90,70,92,78,91,91,92,88,90,91,89,74,90,91,60,86,90,81,64,90,89,89,10,10,10,10,10
32860,Caroline Graham Hansen,Normal,N\A,227102,90,23,12,-1,-1,21823489,0,1048576,0,136,136,26,0,0,4,5,90,88,94,75,84,87,74,83,66,84,35,87,89,90,90,93,86,77,71,84,89,45,88,84,50,46,83,92,79,10,10,10,10,10
32861,Sam Kerr,Normal,N\A,227125,90,25,-1,-1,-1,172097552,0,1,0,141,141,0,0,0,3,4,86,84,90,82,89,87,86,89,70,91,24,92,79,91,70,90,92,68,93,67,78,44,85,67,39,30,92,76,71,10,10,10,10,10
32862,Sophia Wilson,Normal,N\A,264012,89,25,23,-1,-1,5570561,0,524288,0,143,41,143,36,0,3,5,92,93,85,86,92,93,85,89,68,80,43,89,74,91,73,89,89,72,79,75,88,41,86,75,42,39,84,74,78,10,10,10,10,10
32863,Ada Hegerberg,Normal,N\A,227310,89,25,-1,-1,-1,151584768,0,0,0,41,0,0,0,0,3,4,73,75,74,45,91,75,85,90,65,86,23,93,76,90,71,90,91,75,92,72,83,42,85,72,33,30,90,79,84,10,10,10,10,10
32864,María Pilar León Cebrián,Normal,N\A,236479,89,5,-1,-1,-1,27776,0,4096,0,113,12,113,0,0,1,3,73,77,73,86,88,75,85,90,84,91,90,70,62,82,86,68,63,88,83,90,88,91,89,90,91,89,49,87,64,10,10,10,10,10
32865,Marie Katoto,Normal,N\A,246272,88,25,-1,-1,-1,153092096,0,16,0,143,143,0,0,0,3,4,88,82,84,68,95,71,85,82,44,85,27,91,79,87,71,84,90,72,91,70,85,37,84,70,35,30,91,71,82,10,10,10,10,10
32866,Débora C. de Oliveira,Normal,N\A,226893,88,18,12,-1,-1,55377920,0,1048576,0,133,31,133,26,0,4,5,83,84,90,94,72,81,61,77,70,84,49,87,90,91,85,93,82,80,56,85,87,49,80,85,39,44,86,89,78,10,10,10,10,10
32867,Kadidiatou Diani,Normal,N\A,227361,88,23,12,25,-1,21299200,0,0,0,137,35,137,43,0,3,4,89,91,89,84,88,80,89,86,52,84,55,91,84,90,79,87,90,70,81,74,87,46,79,74,59,49,74,74,71,10,10,10,10,10
32868,Patricia Guijarro Gutiérrez,Normal,N\A,237289,88,10,14,-1,-1,2883873,0,128,0,14,16,21,0,0,3,4,78,78,82,87,87,78,77,85,71,84,83,80,83,90,69,86,80,66,84,93,90,86,89,93,87,85,58,75,70,10,10,10,10,10
32869,Beth Mead,Normal,N\A,245802,88,23,12,27,-1,590336,0,0,0,135,36,135,38,0,4,4,83,81,74,84,84,81,84,89,31,82,73,87,87,90,88,90,85,88,68,74,85,61,87,74,69,68,73,81,68,10,10,10,10,10
32870,Wendie Renard,Normal,N\A,227316,88,5,-1,-1,-1,134218896,0,8192,0,12,13,0,0,0,1,3,40,55,52,33,77,71,91,87,84,84,89,70,59,75,60,69,63,58,94,84,80,92,80,84,92,81,55,66,67,10,10,10,10,10
32871,Guro Reiten,Normal,N\A,227323,88,16,18,27,-1,12714537,0,0,0,130,130,39,0,0,3,3,87,88,92,89,69,91,57,88,58,88,65,86,87,85,93,84,82,80,50,81,84,60,81,81,60,57,61,74,69,10,10,10,10,10
32872,Irene Paredes Hernández,Normal,N\A,227190,88,5,-1,-1,-1,134251536,0,16384,0,12,13,0,0,0,1,3,69,72,66,65,82,72,88,91,87,80,89,39,51,80,59,57,51,40,85,68,85,92,60,68,87,88,60,69,51,10,10,10,10,10
32873,Christiane Endler,Normal,N\A,245956,88,0,-1,-1,-1,0,1,0,2,102,102,0,0,0,0,3,46,35,39,42,60,35,46,83,21,45,15,10,69,22,15,15,15,11,13,35,31,15,63,35,11,12,8,17,13,87,82,84,90,89
32874,Alexandra Popp,Normal,N\A,226302,87,25,16,-1,-1,184582144,0,16,0,41,30,0,0,0,2,5,73,79,77,78,94,91,91,88,84,82,44,91,74,83,74,78,86,73,94,64,82,45,91,64,52,48,88,73,86,10,10,10,10,10
32875,Sakina Karchaoui,Normal,N\A,233662,87,7,16,-1,-1,12660224,0,0,0,8,10,29,0,0,4,4,92,87,90,85,74,87,50,82,72,86,84,82,73,87,89,87,55,67,66,78,86,78,76,78,84,79,59,80,70,10,10,10,10,10
32876,Mallory Swanson,Normal,N\A,232073,87,16,25,27,-1,5046273,0,0,0,127,30,127,0,0,3,5,88,90,84,88,78,89,62,85,70,78,43,88,84,86,76,85,83,68,68,77,85,36,81,77,41,39,70,73,80,10,10,10,10,10
32877,Rose Lavelle,Normal,N\A,232075,87,18,14,-1,-1,590112,0,64,0,132,31,132,22,0,3,4,85,86,80,85,64,80,54,84,63,79,48,85,86,87,74,90,82,69,44,85,91,41,74,85,48,45,68,72,74,10,10,10,10,10
32879,Ewa Pajor,Normal,N\A,241846,87,25,27,-1,-1,0,0,131072,0,41,43,39,0,0,2,3,89,87,90,83,89,82,81,79,24,89,20,90,71,90,47,89,91,66,74,49,74,18,85,49,12,10,89,64,89,10,10,10,10,10
32880,Khadija Shaw,Normal,N\A,246219,86,25,-1,-1,-1,2097152,0,134217728,0,144,144,0,0,0,2,4,70,69,55,42,92,81,92,86,71,86,25,89,79,86,59,79,90,55,91,68,78,23,88,68,30,20,77,58,75,10,10,10,10,10
32881,Fridolina Rolfö,Normal,N\A,227013,86,7,27,-1,-1,5833216,0,1024,0,110,110,40,0,0,3,5,84,81,77,68,86,81,91,87,68,81,83,84,82,90,80,89,82,63,78,75,90,83,85,75,85,80,81,74,85,10,10,10,10,10
32890,Lauren James,Normal,N\A,265249,86,23,12,18,-1,5112448,0,1048576,0,136,37,136,33,0,4,4,93,86,69,77,90,75,91,77,68,74,40,82,81,90,88,92,82,73,66,77,76,30,85,77,43,38,71,81,70,10,10,10,10,10
32897,Cole Palmer,Normal,N\A,257534,85,12,18,23,-1,852513,0,0,0,126,25,126,32,0,3,3,73,77,78,75,71,78,61,84,60,87,52,86,86,87,78,88,84,74,62,82,86,45,81,82,53,40,67,85,89,10,10,10,10,10
32907,Julian Brandt,Normal,N\A,212194,85,18,12,14,-1,17629224,0,256,0,133,31,133,25,0,3,4,69,72,83,83,69,85,72,86,45,84,56,82,87,87,82,86,80,76,54,83,87,49,82,83,45,56,79,80,55,10,10,10,10,10
32911,Dušan Vlahović,Normal,N\A,246430,84,25,-1,-1,-1,262155,0,0,0,42,0,0,0,0,2,3,76,79,63,53,92,77,87,86,78,81,24,87,70,84,57,80,86,89,83,60,75,19,84,60,26,24,79,78,80,10,10,10,10,10
32924,Roony Bardghji,Normal,N\A,265600,70,23,12,-1,-1,1376256,0,0,0,36,37,0,0,0,3,4,77,74,87,88,48,64,49,67,52,69,28,73,66,71,61,72,70,63,24,55,64,32,70,55,30,29,60,66,61,10,10,10,10,10
32928,Magnus Mattsson,Normal,N\A,240974,73,18,14,27,-1,327682,0,0,0,31,33,21,0,0,2,4,72,62,80,76,59,83,52,71,62,75,35,70,75,77,67,76,73,68,31,65,70,42,68,65,42,38,59,69,66,10,10,10,10,10
32933,William Saliba,Normal,N\A,243715,87,5,-1,-1,-1,1024,0,8192,0,111,12,13,111,0,1,3,77,86,53,46,89,72,87,86,83,85,86,43,62,82,58,74,35,35,79,78,84,88,60,78,89,86,34,55,47,10,10,10,10,10
32937,Bukayo Saka,Normal,N\A,246669,87,23,12,-1,-1,328193,0,0,0,136,136,26,0,0,2,4,88,83,85,88,71,86,63,85,68,82,62,82,86,88,85,89,84,69,49,70,83,60,79,70,62,60,79,84,87,10,10,10,10,10
32941,Declan Rice,Normal,N\A,234378,87,10,14,-1,-1,2103424,0,0,0,114,16,114,18,0,2,3,71,75,55,65,82,92,81,85,85,86,86,71,79,84,79,82,64,65,72,86,85,85,84,86,86,85,50,81,71,10,10,10,10,10
32945,Bruno Miguel Borges Fernandes,Normal,N\A,212198,87,18,14,-1,-1,9175144,0,128,0,131,33,131,0,0,3,3,72,68,78,76,70,95,61,90,84,79,63,87,94,86,82,83,84,82,63,90,89,62,86,90,71,66,87,85,90,10,10,10,10,10
32949,Heung Min Son,Normal,N\A,200104,87,25,16,-1,-1,4325376,0,1,0,141,43,141,30,0,3,5,86,88,81,74,82,88,69,90,62,88,39,91,82,85,84,87,90,74,72,72,83,45,89,72,34,33,83,87,75,10,10,10,10,10
32953,İlkay Gündoğan,Normal,N\A,186942,87,14,10,-1,-1,2097440,0,524288,0,21,14,0,0,0,3,4,65,60,77,77,67,75,73,86,70,87,78,86,86,91,77,88,85,80,50,85,89,77,81,85,78,67,75,86,80,10,10,10,10,10
32957,Emiliano Martínez,Normal,N\A,202811,87,0,-1,-1,-1,536870912,0,0,2,2,0,0,0,0,0,4,55,57,54,49,79,40,78,84,37,69,21,12,67,43,22,23,16,20,26,59,61,25,62,59,20,20,13,22,43,84,82,83,86,87
32958,Alexis Mac Allister,Normal,N\A,239837,86,14,10,-1,-1,2097196,0,64,0,118,118,14,0,0,2,3,71,67,82,83,72,87,69,85,83,84,78,80,86,86,79,84,79,82,61,86,87,77,88,86,79,73,77,83,86,10,10,10,10,10
32959,Alexander Isak,Normal,N\A,233731,85,25,-1,-1,-1,917505,0,0,0,41,42,0,0,0,3,5,83,87,80,69,88,78,77,85,58,86,38,86,80,87,68,88,87,65,78,60,78,35,82,60,34,29,79,75,83,10,10,10,10,10
32963,Ollie Watkins,Normal,N\A,221697,85,25,-1,-1,-1,8519682,0,0,0,42,0,0,0,0,2,4,79,89,79,76,91,88,82,85,76,81,55,87,77,79,67,81,86,63,84,64,79,45,84,64,46,36,80,74,74,10,10,10,10,10
32964,Leandro Trossard,Normal,N\A,207421,83,27,16,25,-1,17170432,0,0,0,38,39,40,0,0,3,5,87,77,92,85,75,76,57,80,47,84,18,83,81,84,79,84,83,69,65,77,82,30,81,77,31,18,78,83,75,10,10,10,10,10
32968,Kobbie Mainoo,Normal,N\A,269136,77,10,14,-1,-1,2097281,0,0,0,14,18,0,0,0,2,3,77,72,79,88,78,71,72,76,70,83,74,73,76,80,65,82,71,41,64,79,79,72,69,79,76,73,52,76,55,10,10,10,10,10
32972,Trent Alexander-Arnold,Normal,N\A,231281,86,3,-1,-1,-1,8388776,0,512,0,104,6,104,0,0,2,4,72,78,73,72,75,89,68,85,69,82,84,79,89,85,93,79,64,85,69,92,89,78,85,92,82,78,68,88,66,10,10,10,10,10
32973,Andrew Robertson,Normal,N\A,216267,85,7,-1,-1,-1,131584,0,8388608,0,110,110,0,0,0,2,2,79,78,75,74,76,93,67,85,85,83,81,78,82,82,87,78,55,71,67,76,83,82,76,76,83,81,32,82,55,10,10,10,10,10
32974,Leon Bailey,Normal,N\A,229906,82,12,23,25,-1,4521984,0,0,0,23,26,43,0,0,3,2,93,87,91,88,76,68,61,80,55,75,28,81,82,85,77,88,79,79,57,65,78,45,79,65,34,29,73,79,71,10,10,10,10,10
32975,Dominic Solanke,Normal,N\A,225539,81,25,-1,-1,-1,33816592,0,0,0,42,44,0,0,0,2,3,69,79,67,68,89,87,83,82,75,78,22,85,70,79,55,80,84,48,85,60,76,22,82,60,25,22,77,57,73,10,10,10,10,10
32979,Paulo Dybala,Normal,N\A,211110,87,18,25,-1,-1,17104937,0,524288,0,132,132,43,0,0,4,3,84,76,88,90,77,74,67,84,48,87,42,83,88,91,83,89,84,87,65,79,84,32,84,79,42,39,92,89,88,10,10,10,10,10
32983,Stephan El Shaarawy,Normal,N\A,190813,79,16,18,27,-1,131073,0,0,0,27,30,38,0,0,3,3,83,82,92,80,77,66,63,76,51,77,36,76,78,83,76,83,72,72,65,70,77,65,75,70,42,35,85,85,72,10,10,10,10,10
32984,Leandro Paredes,Normal,N\A,207439,78,14,10,-1,-1,16793856,0,0,0,20,14,0,0,0,3,4,62,62,68,75,70,74,75,68,88,82,72,62,82,84,77,78,50,78,56,85,86,70,86,85,76,76,71,83,64,10,10,10,10,10
32985,Viktor Gyökeres,Normal,N\A,241651,84,25,27,-1,-1,2097152,0,0,0,41,39,0,0,0,2,5,88,92,77,77,95,93,91,84,87,82,28,83,77,82,61,80,86,59,81,52,73,34,85,52,34,16,74,70,81,10,10,10,10,10
32989,Gianluca Mancini,Normal,N\A,229582,82,5,-1,-1,-1,53376,0,0,0,11,13,0,0,0,1,3,65,75,34,57,86,80,84,82,92,80,84,32,56,76,34,59,48,34,82,71,67,84,51,71,84,79,40,38,47,10,10,10,10,10
32990,Bryan Cristante,Normal,N\A,208268,81,14,5,10,-1,8396960,0,0,0,20,15,0,0,0,2,4,53,56,62,54,80,93,83,80,78,82,76,76,80,80,70,76,68,66,76,86,82,80,83,86,78,74,72,68,68,10,10,10,10,10
32991,Kyle Walker,Normal,N\A,188377,84,3,-1,-1,-1,67240960,0,0,0,4,0,0,0,0,2,2,84,93,66,69,87,81,80,85,84,75,78,68,69,82,77,78,51,71,72,80,81,75,87,80,85,83,57,76,63,10,10,10,10,10
32995,Enzo Le Fée,Normal,N\A,246350,77,14,18,-1,-1,590048,0,0,0,18,19,0,0,0,3,3,62,63,74,89,54,69,52,77,54,80,64,77,80,82,69,79,52,71,45,80,84,63,60,80,65,60,51,70,58,10,10,10,10,10
32996,Jack Grealish,Normal,N\A,206517,84,27,16,-1,-1,786433,0,2097152,0,40,30,0,0,0,3,3,78,75,84,85,70,83,71,82,65,88,49,80,84,90,82,89,76,74,48,80,84,58,76,80,54,48,72,83,58,10,10,10,10,10
32997,Lorenzo Pellegrini,Normal,N\A,228251,83,18,14,-1,-1,2097185,0,0,0,31,33,22,0,0,2,4,79,79,79,82,83,87,74,85,74,84,72,80,87,87,74,80,78,79,74,83,88,73,79,83,77,73,74,74,80,10,10,10,10,10
33001,John Stones,Normal,N\A,203574,85,5,3,10,-1,201326592,0,0,0,11,12,13,0,0,2,4,68,69,68,67,84,74,77,87,80,88,84,58,78,83,63,79,54,37,84,79,85,86,68,79,86,84,44,62,52,10,10,10,10,10
